mechanism,severity,signed_parameter,mechanism_direction,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error,observed_fraction_full_sequence,observed_fraction_evaluation_window
missingness,0.5,0.5,not_directional,52013,3.799942129,0.835223214,4,0.011022508,0.5,0.6
missingness,0.0,0.0,not_directional,52014,1.798991347,0.720290698,1,0.029158267,1.0,1.0
missingness,0.1,0.1,not_directional,52014,1.804500205,0.723951042,1,0.029158274,0.866666667,1.0
missingness,0.3,0.3,not_directional,52014,1.862990794,0.72584762,1,0.006658077,0.5,0.55
missingness,0.5,0.5,not_directional,52014,2.146934399,0.721067773,1,0.001970341,0.433333333,0.5
missingness,0.0,0.0,not_directional,52015,2.411421949,0.814093428,2,0.079128607,1.0,1.0
missingness,0.1,0.1,not_directional,52015,2.42342631,0.820245915,2,0.079128619,0.9,1.0
missingness,0.3,0.3,not_directional,52015,3.893397303,1.567648017,3,0.078772977,0.733333333,0.75
missingness,0.5,0.5,not_directional,52015,5.646102712,1.579543736,5,0.079910982,0.5,0.5
missingness,0.0,0.0,not_directional,52016,2.046563423,0.767102115,2,0.02463256,1.0,1.0
missingness,0.1,0.1,not_directional,52016,2.312334926,0.788487355,2,0.024575621,0.9,0.9
missingness,0.3,0.3,not_directional,52016,2.586382667,0.799269525,2,0.02154069,0.7,0.7
missingness,0.5,0.5,not_directional,52016,2.655055866,0.773229873,2,0.022552073,0.533333333,0.5
missingness,0.0,0.0,not_directional,52017,2.081227363,0.790193959,2,0.074460028,1.0,1.0
missingness,0.1,0.1,not_directional,52017,2.147368963,0.824838226,2,0.074232112,0.866666667,0.9
missingness,0.3,0.3,not_directional,52017,2.117524435,0.851467887,2,0.019333031,0.7,0.75
missingness,0.5,0.5,not_directional,52017,3.780958273,1.64425079,3,0.034799047,0.633333333,0.65
missingness,0.0,0.0,not_directional,52018,2.001186227,0.834305957,2,0.077915245,1.0,1.0
missingness,0.1,0.1,not_directional,52018,2.959457218,0.841092636,3,0.077913407,0.933333333,0.95
missingness,0.3,0.3,not_directional,52018,2.775140455,0.827701215,3,0.077428389,0.666666667,0.7
missingness,0.5,0.5,not_directional,52018,3.913472599,0.81827155,5,0.07713081,0.533333333,0.6
missingness,0.0,0.0,not_directional,52019,2.09716538,0.752333653,2,0.076806386,1.0,1.0
missingness,0.1,0.1,not_directional,52019,2.851246022,0.75100705,3,0.07750782,0.9,0.9
missingness,0.3,0.3,not_directional,52019,3.571667849,0.751074,4,0.02009355,0.666666667,0.6
missingness,0.5,0.5,not_directional,52019,6.861425076,1.540129748,6,0.047625387,0.533333333,0.45
missingness,0.0,0.0,not_directional,52020,2.118503862,0.798866708,2,0.051225357,1.0,1.0
missingness,0.1,0.1,not_directional,52020,2.587609176,0.798866708,3,0.022601776,0.866666667,0.8
missingness,0.3,0.3,not_directional,52020,5.412804104,1.625172135,7,0.023855442,0.633333333,0.5
missingness,0.5,0.5,not_directional,52020,14.981471244,1.645231529,9,0.037197524,0.266666667,0.2
missingness,0.0,0.0,not_directional,52021,2.044494027,0.741592729,1,0.030944337,1.0,1.0
missingness,0.1,0.1,not_directional,52021,1.955168268,0.741592729,1,0.016866242,0.9,0.85
missingness,0.3,0.3,not_directional,52021,2.211746477,0.741522424,1,0.013319468,0.766666667,0.7
missingness,0.5,0.5,not_directional,52021,2.499152953,0.741522424,1,0.015563743,0.6,0.45
missingness,0.0,0.0,not_directional,52022,2.306259799,0.782779954,2,0.046051604,1.0,1.0
missingness,0.1,0.1,not_directional,52022,2.608342662,0.782779954,3,0.046052876,0.966666667,0.95
missingness,0.3,0.3,not_directional,52022,2.989808194,0.792250932,3,0.051084655,0.766666667,0.7
missingness,0.5,0.5,not_directional,52022,5.7823175,1.651007332,6,0.051920278,0.5,0.55
missingness,0.0,0.0,not_directional,52023,2.654576869,0.951844023,2,0.07662765,1.0,1.0
missingness,0.1,0.1,not_directional,52023,2.561821874,0.951844023,2,0.034533115,0.933333333,0.9
missingness,0.3,0.3,not_directional,52023,5.015455897,1.736697602,4,0.03470941,0.733333333,0.7
missingness,0.5,0.5,not_directional,52023,7.819610569,1.690365255,6,0.005577105,0.466666667,0.4
missingness,0.0,0.0,not_directional,52024,2.52073826,0.779596323,2,0.044475478,1.0,1.0
missingness,0.1,0.1,not_directional,52024,3.184636432,0.780623376,3,0.044471381,0.866666667,0.9
missingness,0.3,0.3,not_directional,52024,3.063660191,0.782031581,3,0.038976789,0.766666667,0.8
missingness,0.5,0.5,not_directional,52024,3.956755764,0.779593103,5,0.014110621,0.5,0.45
missingness,0.0,0.0,not_directional,52025,2.109631732,0.83545739,2,0.085609788,1.0,1.0
missingness,0.1,0.1,not_directional,52025,3.62307858,1.660758032,3,0.08526577,0.9,0.9
missingness,0.3,0.3,not_directional,52025,5.733248554,1.67960517,4,0.084852687,0.733333333,0.7
missingness,0.5,0.5,not_directional,52025,5.876917164,1.648688276,4,0.073300908,0.466666667,0.5
missingness,0.0,0.0,not_directional,52026,2.529305648,0.841541309,2,0.023883851,1.0,1.0
missingness,0.1,0.1,not_directional,52026,3.069554661,0.839755796,3,0.023895022,0.9,0.9
missingness,0.3,0.3,not_directional,52026,4.295376172,0.839796312,6,0.032909,0.7,0.65
missingness,0.5,0.5,not_directional,52026,10.367756003,0.853218971,12,0.074511762,0.4,0.3
missingness,0.0,0.0,not_directional,52027,2.172272378,0.801615923,2,0.042737852,1.0,1.0
missingness,0.1,0.1,not_directional,52027,2.204627494,0.803328554,2,0.067325537,0.9,0.9
missingness,0.3,0.3,not_directional,52027,2.955531485,0.775457769,3,0.096399294,0.633333333,0.6
missingness,0.5,0.5,not_directional,52027,3.162726329,0.775457769,3,0.09572876,0.6,0.55
missingness,0.0,0.0,not_directional,52028,2.859348412,0.86198175,2,0.013600827,1.0,1.0
missingness,0.1,0.1,not_directional,52028,2.816434607,0.86198175,3,0.013994678,0.9,0.85
missingness,0.3,0.3,not_directional,52028,2.739924011,0.841519854,3,0.008227481,0.7,0.65
missingness,0.5,0.5,not_directional,52028,4.843661804,0.851996968,4,0.006541842,0.466666667,0.4
missingness,0.0,0.0,not_directional,52029,2.253922536,0.786558319,2,0.002191636,1.0,1.0
missingness,0.1,0.1,not_directional,52029,2.323638881,0.786558319,2,0.00219734,0.966666667,0.95
missingness,0.3,0.3,not_directional,52029,3.687264336,0.785844093,5,0.011842794,0.766666667,0.75
missingness,0.5,0.5,not_directional,52029,13.370124602,1.640772834,9,0.00438853,0.566666667,0.5
missingness,0.0,0.0,not_directional,52030,2.040770353,0.822640145,2,0.023937317,1.0,1.0
missingness,0.1,0.1,not_directional,52030,2.041509574,0.822640145,2,0.026656326,0.9,0.85
missingness,0.3,0.3,not_directional,52030,1.980130422,0.817237129,2,0.023345448,0.666666667,0.65
missingness,0.5,0.5,not_directional,52030,6.385927961,1.614116231,4,0.01640983,0.4,0.4
missingness,0.0,0.0,not_directional,52031,2.157409666,0.762185584,2,0.043056579,1.0,1.0
missingness,0.1,0.1,not_directional,52031,2.191217483,0.762361526,2,0.044905165,0.8,0.85
missingness,0.3,0.3,not_directional,52031,5.249799118,1.570974245,5,0.053284059,0.533333333,0.6
missingness,0.5,0.5,not_directional,52031,9.226540952,1.570949477,10,0.105547919,0.233333333,0.25
missingness,0.0,0.0,not_directional,52032,2.20483043,0.741817868,2,0.031880123,1.0,1.0
missingness,0.1,0.1,not_directional,52032,2.106564535,0.74279208,2,0.031979438,0.933333333,0.95
missingness,0.3,0.3,not_directional,52032,2.402684241,0.758241656,2,0.020816171,0.633333333,0.65
missingness,0.5,0.5,not_directional,52032,2.424183088,0.768496608,2,0.020818675,0.6,0.65
missingness,0.0,0.0,not_directional,52033,2.52035576,0.792626923,2,0.02131134,1.0,1.0
missingness,0.1,0.1,not_directional,52033,2.64834778,0.796011714,2,0.011953999,0.866666667,0.95
missingness,0.3,0.3,not_directional,52033,4.762476358,1.584336115,4,0.041509812,0.633333333,0.7
missingness,0.5,0.5,not_directional,52033,4.983998416,1.579833538,5,0.024159945,0.533333333,0.6
missingness,0.0,0.0,not_directional,52034,2.386299187,0.84395655,2,0.078917286,1.0,1.0
missingness,0.1,0.1,not_directional,52034,6.103845645,1.674715345,6,0.074396723,0.666666667,0.6
missingness,0.3,0.3,not_directional,52034,6.652861141,1.674715345,6,0.060689938,0.533333333,0.4
